lat,lng,date,hour,altitude,course,speed,humidity,temperature,pm25https://raw.githubusercontent.com/daquina-io/visualizacionCalidadAire/master/data/points.csv
INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,41.00,25.00,3.11
INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,38.00,24.00,3.51
INVALID,INVALID,1/6/2080,00:00:21.79,INVALID,INVALID,INVALID,38.00,24.00,2.88
INVALID,INVALID,1/6/2080,00:00:34.79,INVALID,INVALID,INVALID,38.00,24.00,2.35
INVALID,INVALID,1/6/2080,00:00:34.79,INVALID,INVALID,INVALID,38.00,24.00,2.50
INVALID,INVALID,1/6/2080,00:00:34.79,INVALID,INVALID,INVALID,38.00,24.00,2.10
INVALID,INVALID,1/6/2080,00:01:15.00,INVALID,INVALID,INVALID,37.00,25.00,2.80
INVALID,INVALID,1/6/2080,00:01:15.00,INVALID,INVALID,INVALID,37.00,25.00,3.95
INVALID,INVALID,1/6/2080,00:01:15.00,INVALID,INVALID,INVALID,37.00,25.00,3.17
INVALID,INVALID,1/9/2080,14:34:23.08,INVALID,INVALID,INVALID,37.00,25.00,4.66
INVALID,INVALID,1/9/2080,14:34:23.08,INVALID,INVALID,INVALID,37.00,25.00,5.14
INVALID,INVALID,1/9/2080,14:34:23.08,INVALID,INVALID,INVALID,37.00,25.00,5.49
INVALID,INVALID,1/9/2080,14:35:03.08,INVALID,INVALID,INVALID,37.00,25.00,5.93
INVALID,INVALID,1/9/2080,14:35:16.08,INVALID,INVALID,INVALID,37.00,25.00,5.73
INVALID,INVALID,1/9/2080,14:35:16.08,INVALID,INVALID,INVALID,37.00,25.00,5.76
INVALID,INVALID,1/9/2080,14:35:43.09,INVALID,INVALID,INVALID,37.00,25.00,5.93
INVALID,INVALID,1/9/2080,14:35:43.09,INVALID,INVALID,INVALID,37.00,25.00,6.19
INVALID,INVALID,1/9/2080,14:36:10.08,INVALID,INVALID,INVALID,37.00,25.00,6.00
INVALID,INVALID,1/9/2080,14:36:23.29,INVALID,INVALID,INVALID,37.00,25.00,6.20
INVALID,INVALID,1/9/2080,14:36:37.08,INVALID,INVALID,INVALID,37.00,25.00,6.31
INVALID,INVALID,1/9/2080,14:36:37.08,INVALID,INVALID,INVALID,41.00,25.00,6.38
INVALID,INVALID,1/9/2080,14:36:37.08,INVALID,INVALID,INVALID,37.00,25.00,6.24
INVALID,INVALID,4/5/2017,14:37:18.07,INVALID,INVALID,INVALID,37.00,25.00,6.25
INVALID,INVALID,4/5/2017,14:37:18.07,INVALID,INVALID,INVALID,37.00,25.00,6.31
6.263262,-75.596753,4/5/2017,14:37:46.00,1518.00,109.95,23.26,37.00,25.00,6.50
6.263262,-75.596753,4/5/2017,14:37:46.00,1518.00,109.95,23.26,37.00,25.00,6.47
